"4","304 NATCHEZ TRC, SANDY SPRINGS, Georgia, ","Match","Non_Exact","304 NATCHEZ TRCE, SANDY SPRINGS, GA, 30350","-84.33761051099998,33.990693090000036","17402868","L","13","121","010106","3000"
"5","1404 VICKSBURG PL, SANDY SPRINGS, Georgia, ","Match","Exact","1404 VICKSBURG PL, SANDY SPRINGS, GA, 30350","-84.33721123699996,33.98855772400003","17402867","R","13","121","010106","3000"
"2311","215 BARRINGTON DR, ROSWELL, Georgia, ","Match","Non_Exact","215 BARRINGTON DR E, ROSWELL, GA, 30076","-84.29467849999997,34.02765523700003","17353453","R","13","121","011434","1019"
"8","506 VICKSBURG PL, SANDY SPRINGS, Georgia, ","Match","Exact","506 VICKSBURG PL, SANDY SPRINGS, GA, 30350","-84.33752880399999,33.98987227600003","17402867","R","13","121","010106","3000"
"3642","790 HORTENSE WAY, ATLANTA, Georgia, ","Match","Non_Exact","790 HORTENSE WAY NW, ATLANTA, GA, 30318","-84.43964183099996,33.776703877000045","17340164","L","13","121","008702","1003"
"4973","1248 OAKCREST DR, ATLANTA, Georgia, ","Match","Non_Exact","1248 OAKCREST DR SW, ATLANTA, GA, 30311","-84.49223443999995,33.72350953200004","17337493","L","13","121","007900","3018"
"4974","3167 VALLEYDALE DR, ATLANTA, Georgia, ","Match","Non_Exact","3167 VALLEYDALE DR SW, ATLANTA, GA, 30311","-84.49194604499996,33.72627646600006","17337453","R","13","121","007900","2010"
"3643","0 GROVE PARK PL, ATLANTA, Georgia, ","No_Match"
"4975","3111 VALLEYDALE DR, ATLANTA, Georgia, ","Match","Non_Exact","3111 VALLEYDALE DR SW, ATLANTA, GA, 30311","-84.49084428499998,33.72654209600006","17337453","R","13","121","007900","2010"
"3644","701 FRANCIS PL, ATLANTA, Georgia, ","Match","Non_Exact","701 FRANCIS PL NW, ATLANTA, GA, 30318","-84.43794417799995,33.77379554700008","618350710","R","13","121","008500","1002"
"3645","667 FRANCIS PL, ATLANTA, Georgia, ","Match","Non_Exact","667 FRANCIS PL NW, ATLANTA, GA, 30318","-84.43799440599997,33.77311489900006","618350710","R","13","121","008500","1002"
"4979","749 BRAEMAR AVE, ATLANTA, Georgia, ","Match","Non_Exact","749 BRAEMAR AVE SW, ATLANTA, GA, 30311","-84.49525984199994,33.73505004900005","17337393","R","13","121","007900","3000"
"2318","955 LAKEHAVEN CT, ROSWELL, Georgia, ","Match","Non_Exact","955 LAKE HAVEN CT, ROSWELL, GA, 30076","-84.30276249699995,34.022837896000055","17418810","L","13","121","011441","3002"
"17266","2779 GLENLOCKE WAY, ATLANTA, Georgia, ","Tie"
"18597","15140 HIGHGROVE RD, MILTON, Georgia, ","Match","Exact","15140 HIGHGROVE RD, MILTON, GA, 30004","-84.31131260799998,34.14745710400007","17388061","R","13","121","011514","1003"
"18599","2025 DRUMMOND POND RD, MILTON, Georgia, ","Match","Exact","2025 DRUMMOND POND RD, MILTON, GA, 30004","-84.30017272599997,34.14940318200007","17434458","R","13","121","011514","1012"
"17269","2811 GLENLOCKE CIR, ATLANTA, Georgia, ","Match","Exact","2811 GLENLOCKE CIR, ATLANTA, GA, 30318","-84.48276103099994,33.796804380000026","618351836","L","13","121","008602","2012"
"17262","1209 HIGHTOWER RD, ATLANTA, Georgia, ","Match","Exact","1209 HIGHTOWER RD, ATLANTA, GA, 30318","-84.47427688899995,33.794364149000046","17333718","R","13","121","008601","1000"
"17263","1688 CHURCH ST, ATLANTA, Georgia, ","Match","Non_Exact","1688 CHURCH ST NW, ATLANTA, GA, 30318","-84.46861101399998,33.803226868000024","17333724","L","13","121","008701","2002"
"4991","1755 WILLIS MILL RD, ATLANTA, Georgia, ","Match","Non_Exact","1755 WILLIS MILL RD SW, ATLANTA, GA, 30311","-84.46988270499997,33.70778289200007","17340846","R","13","121","007602","3004"
"3661","918 HOLLYWOOD RD, ATLANTA, Georgia, ","Match","Non_Exact","918 HOLLYWOOD RD NW, ATLANTA, GA, 30318","-84.45540408299996,33.78008205700007","17339611","L","13","121","008500","3016"
"17264","2849 GLENLOCKE CIR, ATLANTA, Georgia, ","Match","Exact","2849 GLENLOCKE CIR, ATLANTA, GA, 30318","-84.48387377599994,33.79656767600005","618349539","L","13","121","008602","2012"
"4992","1695 LAURELWOOD DR, ATLANTA, Georgia, ","Match","Non_Exact","1695 LAURELWOOD DR SW, ATLANTA, GA, 30311","-84.46715782099994,33.708688094000024","17340927","R","13","121","007602","3003"
"18595","15305 HIGHGROVE RD, MILTON, Georgia, ","Match","Exact","15305 HIGHGROVE RD, MILTON, GA, 30004","-84.31013631499997,34.15072781900005","17388033","L","13","121","011514","1003"
